x,y,z,x2,y2,z2,altezza
-0.43,1.51,0.06,0.21,1.44,0.08,1.57
-0.41,1.37,0.08,0.14,1.38,0.09,1.57
-0.38,1.32,0.09,0.10,1.00,-0.03,1.56
-0.38,1.28,0.09,0.04,1.17,0.09,1.57
-0.35,1.25,0.08,0.04,1.18,0.13,1.56
-0.32,1.26,0.07,0.03,1.20,0.14,1.56
-0.24,1.02,-0.04,0.05,1.19,0.14,1.56
-0.25,1.19,0.05,0.05,1.20,0.13,1.57
-0.27,1.18,0.06,0.01,1.16,0.10,1.57
-0.26,1.18,0.06,-0.01,1.18,0.10,1.57
-0.21,1.19,0.06,-0.06,1.22,0.14,1.57
-0.36,1.27,-0.06,0.22,1.29,0.01,1.57
-0.46,1.28,-0.00,0.25,1.32,0.10,1.57
-0.33,1.26,0.06,0.10,1.29,0.10,1.57
-0.29,1.27,0.09,0.08,1.29,0.14,1.56
-0.23,1.19,0.03,0.08,1.25,0.09,1.56
-0.23,1.08,0.02,0.08,1.16,0.07,1.57
-0.25,1.15,0.02,0.05,1.17,0.05,1.57
-0.25,0.97,0.05,0.05,0.98,0.07,1.57
-0.26,0.85,0.08,0.07,0.86,0.11,1.56
-0.26,1.18,0.01,0.07,1.24,0.07,1.57
-0.24,1.24,0.05,0.03,1.24,0.08,1.57
-0.22,1.17,0.05,0.02,1.17,0.06,1.57
-0.20,1.17,0.05,0.00,1.17,0.07,1.57
-0.29,1.31,-0.07,0.10,1.28,-0.02,1.57
-0.48,1.57,0.05,0.31,1.54,0.17,1.57
-0.37,1.42,0.03,0.19,1.42,0.07,1.57
-0.27,1.28,-0.02,0.10,1.32,0.03,1.57
-0.23,0.97,-0.01,0.08,1.04,0.03,1.57
-0.28,0.89,0.02,0.12,0.90,0.06,1.56
-0.44,0.90,-0.07,0.27,1.08,-0.06,1.55
-0.34,1.24,0.02,0.16,1.29,0.06,1.56
-0.25,0.94,0.02,0.10,1.02,0.02,1.57
-0.29,1.01,0.09,0.08,1.08,0.12,1.57
-0.28,1.12,0.11,0.06,1.15,0.15,1.57
-0.29,1.20,0.11,0.05,1.23,0.16,1.57
-0.26,1.18,0.06,0.05,1.20,0.11,1.57
-0.34,0.92,0.09,0.10,0.98,0.13,1.57
-0.45,1.15,0.12,0.15,1.14,0.15,1.58
-0.45,1.19,0.14,0.15,1.16,0.16,1.58
-0.46,1.23,0.16,0.15,1.18,0.16,1.58
-0.46,1.24,0.16,0.14,1.19,0.16,1.58
-0.42,1.26,0.13,0.12,1.23,0.15,1.57
-0.28,1.29,0.11,0.01,1.29,0.13,1.56
-0.21,1.29,0.11,-0.06,1.28,0.11,1.56
-0.19,1.27,0.11,-0.07,1.28,0.11,1.56
-0.16,1.27,0.11,-0.07,1.25,0.09,1.56
-0.14,1.27,0.11,-0.07,1.25,0.09,1.56
-0.14,1.26,0.11,-0.07,1.25,0.10,1.55
