x,y,z,x2,y2,z2,altezza
0.15,1.18,-0.09,-0.12,1.20,-0.12,1.56
0.13,1.16,-0.03,-0.04,1.17,-0.05,1.56
0.15,1.20,-0.04,-0.07,1.22,-0.07,1.56
0.29,1.47,0.06,-0.27,1.45,-0.02,1.56
0.20,1.33,-0.02,-0.17,1.35,-0.04,1.56
0.16,1.33,-0.04,-0.13,1.32,-0.03,1.56
0.19,1.15,-0.09,-0.15,1.33,-0.01,1.56
0.18,1.26,-0.05,-0.11,1.27,-0.04,1.56
0.17,1.24,-0.03,-0.10,1.25,-0.06,1.56
0.19,1.26,-0.02,-0.11,1.32,-0.09,1.56
0.19,1.27,-0.01,-0.14,1.15,-0.12,1.56
0.18,1.25,-0.02,-0.09,1.20,-0.09,1.56
0.15,1.26,-0.01,-0.09,1.24,-0.08,1.56
0.14,1.26,-0.01,-0.09,1.25,-0.07,1.56
0.14,1.26,-0.02,-0.09,1.25,-0.07,1.56
0.30,1.35,-0.05,-0.32,1.33,-0.10,1.56
0.17,1.32,-0.03,-0.19,1.31,-0.06,1.56
0.18,1.27,-0.04,-0.16,1.27,-0.07,1.56
0.16,1.28,-0.04,-0.13,1.28,-0.07,1.56
0.14,1.12,-0.07,-0.13,1.13,-0.09,1.55
0.14,1.23,-0.05,-0.10,1.20,-0.07,1.56
0.15,1.17,-0.04,-0.08,1.16,-0.06,1.56
0.16,1.09,-0.04,-0.10,1.10,-0.06,1.56
0.19,1.16,-0.09,-0.15,1.15,-0.12,1.55
0.19,1.22,-0.07,-0.12,1.19,-0.10,1.56
0.16,1.24,-0.05,-0.08,1.22,-0.07,1.56
0.17,1.22,-0.03,-0.09,1.21,-0.07,1.56
0.17,1.18,-0.03,-0.08,1.19,-0.06,1.56
0.28,1.41,-0.01,-0.21,1.37,-0.08,1.56
0.21,1.33,-0.02,-0.15,1.33,-0.05,1.56
0.17,1.29,-0.03,-0.11,1.30,-0.05,1.56
0.17,1.12,-0.06,-0.13,1.19,-0.12,1.56
0.19,1.09,-0.03,-0.12,1.10,-0.09,1.56
0.22,1.07,-0.09,-0.17,1.01,-0.13,1.55
0.23,1.24,-0.07,-0.19,1.19,-0.12,1.55
0.21,1.19,-0.06,-0.13,1.18,-0.11,1.55
0.17,1.11,-0.06,-0.13,1.12,-0.10,1.55
0.16,1.13,-0.05,-0.11,1.13,-0.09,1.55
0.16,1.21,-0.05,-0.11,1.21,-0.09,1.55
0.16,1.27,-0.03,-0.11,1.27,-0.08,1.55
0.16,1.07,-0.03,-0.11,1.12,-0.09,1.55
0.20,1.18,-0.02,-0.13,1.20,-0.06,1.55
0.22,1.28,0.02,-0.14,1.28,-0.03,1.55
0.22,1.29,0.03,-0.14,1.28,-0.02,1.55
0.20,1.29,0.03,-0.15,1.28,-0.02,1.55
0.18,1.29,0.03,-0.15,1.29,-0.00,1.55
0.17,1.30,0.04,-0.15,1.31,0.02,1.55
0.16,1.31,0.05,-0.16,1.32,0.03,1.55
0.14,1.32,0.05,-0.17,1.32,0.04,1.55
0.14,1.32,0.06,-0.18,1.33,0.05,1.55
0.13,1.32,0.07,-0.19,1.34,0.07,1.55
0.07,1.28,0.07,-0.15,1.31,0.09,1.56
-0.01,1.26,0.10,-0.07,1.32,0.11,1.56
