x,y,z,x2,y2,z2,altezza
-0.04,1.08,0.08,0.14,1.14,0.01,1.58
-0.32,1.36,-0.17,0.29,1.34,-0.14,1.58
-0.72,1.25,0.05,0.61,1.19,0.10,1.58
-0.33,1.15,-0.05,0.24,1.15,-0.03,1.57
-0.19,1.49,-0.12,0.14,1.49,-0.09,1.57
-0.20,0.77,-0.00,0.12,0.76,0.05,1.58
-0.24,0.82,-0.02,0.14,0.88,0.04,1.57
-0.15,0.78,0.04,0.14,0.77,0.03,1.57
-0.22,1.52,-0.04,0.16,1.51,-0.00,1.57
-0.25,1.60,0.03,0.14,1.60,0.06,1.57
-0.23,0.80,-0.05,0.13,0.81,-0.03,1.57
-0.16,1.10,-0.01,0.05,1.09,0.02,1.58
-0.50,1.76,-0.09,0.39,1.78,-0.07,1.59
-0.57,1.74,0.12,0.48,1.75,0.17,1.59
-0.32,1.26,-0.04,0.28,1.31,-0.02,1.58
-0.20,1.13,-0.01,0.18,1.21,-0.19,1.57
-0.24,1.06,0.05,0.21,0.74,0.30,1.58
-0.14,1.05,-0.01,0.15,1.00,0.00,1.58
-0.23,1.29,-0.14,0.16,1.01,0.05,1.57
-0.24,1.08,-0.30,0.19,1.01,0.08,1.57
-0.27,0.84,0.13,0.16,1.03,0.05,1.58
-0.24,1.15,-0.02,0.09,1.19,0.01,1.58
-0.23,1.15,-0.00,0.11,1.11,0.03,1.58
-0.20,1.14,0.02,0.09,1.12,0.03,1.58
-0.25,1.34,-0.12,0.17,1.31,-0.09,1.59
-0.79,1.34,0.07,0.70,1.31,0.10,1.59
-0.39,1.14,-0.02,0.27,1.13,-0.02,1.58
-0.19,1.35,-0.12,0.11,1.34,-0.11,1.57
-0.17,1.51,-0.08,0.09,1.51,-0.08,1.56
-0.20,0.82,0.06,0.12,0.78,0.12,1.57
-0.18,1.09,-0.06,0.12,1.08,-0.07,1.58
-0.19,0.97,-0.07,0.11,0.95,-0.06,1.57
-0.15,0.72,0.03,0.10,0.71,0.01,1.56
-0.20,1.45,-0.06,0.14,1.44,-0.05,1.57
-0.24,1.39,-0.06,0.12,1.43,-0.06,1.58
-0.19,0.93,0.06,0.08,0.97,0.03,1.59
-0.18,1.08,-0.03,0.09,1.09,-0.04,1.58
-0.21,1.23,-0.08,0.14,1.23,-0.09,1.58
-0.69,1.71,0.09,0.62,1.69,0.15,1.59
-0.40,1.23,-0.08,0.34,1.29,-0.05,1.58
-0.19,1.18,-0.09,0.13,1.19,-0.08,1.58
-0.21,0.77,0.02,0.10,0.74,0.04,1.57
-0.26,0.79,0.11,0.20,0.75,0.11,1.57
-0.41,0.88,-0.13,0.32,0.88,-0.13,1.56
-0.26,1.59,-0.01,0.24,1.61,-0.02,1.57
-0.23,0.76,0.02,0.14,0.72,0.09,1.57
-0.20,0.79,0.05,0.10,0.75,0.10,1.58
-0.18,0.89,-0.04,0.10,0.85,0.01,1.59
-0.16,1.16,-0.06,0.16,1.15,-0.08,1.59
-0.14,1.27,-0.27,0.15,1.21,-0.31,1.56
-0.13,0.73,0.11,0.13,0.70,0.15,1.56
-0.21,1.00,-0.07,0.12,0.94,-0.00,1.57
-0.25,1.21,-0.04,0.12,1.21,-0.03,1.57
-0.36,1.14,-0.01,0.07,1.15,0.01,1.56
-0.41,1.21,-0.02,0.11,1.24,-0.00,1.56
-0.18,1.21,-0.01,0.01,1.26,-0.04,1.56
-0.08,1.19,-0.01,0.01,1.23,-0.07,1.56
-0.10,1.19,-0.01,-0.02,1.22,-0.08,1.56
-0.17,1.24,0.01,-0.10,1.27,-0.06,1.56
-0.24,1.28,0.04,-0.16,1.31,-0.04,1.55
-0.30,1.33,0.07,-0.26,1.33,-0.03,1.56
-0.35,1.33,0.08,-0.33,1.32,-0.03,1.54
-0.35,1.34,0.07,-0.33,1.34,-0.04,1.54
