x,y,z,x2,y2,z2
-0.33,1.45,0.20,0.44,1.41,0.15
-0.34,1.43,0.26,0.46,1.43,0.23
-0.13,1.17,0.28,0.25,1.20,0.25
-0.10,1.11,0.31,0.20,1.04,0.25
-0.10,1.09,0.32,0.20,0.91,0.30
-0.07,1.10,0.31,0.18,0.96,0.30
-0.09,1.04,0.30,0.17,0.97,0.32
-0.16,1.08,0.26,0.14,0.96,0.33
-0.16,0.95,0.34,0.15,0.99,0.33
-0.15,1.07,0.32,0.11,1.05,0.30
-0.13,1.17,0.31,0.12,1.13,0.29
-0.12,1.19,0.29,0.13,1.16,0.27
-0.22,1.26,0.20,0.28,1.23,0.19
-0.41,1.35,0.26,0.53,1.26,0.25
-0.18,1.14,0.25,0.30,1.11,0.23
-0.05,1.08,0.29,0.17,1.07,0.27
-0.06,1.18,0.26,0.19,1.16,0.25
-0.07,0.93,0.31,0.21,0.92,0.28
-0.04,0.97,0.33,0.20,0.96,0.31
-0.04,0.98,0.31,0.19,0.97,0.29
-0.04,0.92,0.31,0.21,0.92,0.30
-0.07,1.23,0.23,0.21,1.21,0.24
-0.08,1.19,0.26,0.22,1.17,0.24
-0.10,1.14,0.28,0.24,1.13,0.25
-0.12,1.16,0.26,0.27,1.16,0.23
-0.21,1.35,0.21,0.38,1.33,0.17
-0.41,1.62,0.29,0.60,1.56,0.23
-0.24,1.39,0.29,0.43,1.40,0.26
-0.08,1.19,0.26,0.23,1.18,0.25
-0.09,0.94,0.25,0.20,0.91,0.26
-0.18,0.90,0.30,0.32,0.88,0.28
-0.30,1.04,0.20,0.46,1.02,0.20
-0.18,1.29,0.24,0.35,1.26,0.21
-0.11,0.89,0.21,0.22,0.86,0.23
-0.06,0.90,0.30,0.21,0.88,0.31
-0.03,0.98,0.27,0.19,0.96,0.26
-0.03,1.22,0.29,0.19,1.18,0.27
-0.02,1.18,0.30,0.18,1.16,0.30
-0.09,0.78,0.35,0.23,0.77,0.34
-0.08,0.81,0.37,0.24,0.78,0.35
-0.03,0.90,0.32,0.19,0.93,0.28
-0.03,0.91,0.31,0.16,1.03,0.25
-0.03,0.94,0.29,0.17,1.02,0.25
-0.02,0.94,0.29,0.16,1.01,0.27
-0.02,0.95,0.29,0.15,1.02,0.26
